"stop_id","pid","contraband"
"2443","1","None"
"2444","1","None"
"2447","1","None"
"2447","2","None"
"2448","1","None"
"2449","1","None"
"2451","1","None"
"2453","1","Other Contraband or evidence"
"2454","1","None"
"2455","1","None"
"2456","1","None"
"2457","1","None"
"2458","1","None"
"2459","1","None"
"2461","1","Drug Paraphernalia"
"2462","1","None"
"2463","1","None"
"2464","1","None"
"2465","1","None"
"2467","1","None"
"2469","1","None"
"2471","1","None"
"2473","1","None"
"2474","1","None"
"2475","1","None"
"2476","1","None"
"2477","1","None"
"2477","2","None"
"2478","1","None"
"2479","1","None"
"2479","2","None"
"2481","1","None"
"2482","1","None"
"2483","1","None"
"2484","1","None"
"2485","1","None"
"2486","1","None"
"2487","1","None"
"2488","1","None"
"2489","1","None"
"2490","1","None"
"2491","1","None"
"2493","1","None"
"2497","1","None"
"2499","1","None"
"2500","1","None"
"2501","1","None"
"2502","1","None"
"2503","1","None"
"2504","1","None"
"2505","1","None"
"2506","1","None"
"2507","1","None"
"2508","1","None"
"2509","1","None"
"2510","1","None"
"2511","1","None"
"2512","1","None"
"2513","1","None"
"2514","1","Alcohol"
"2516","1","None"
"2517","1","None"
"2518","1","None"
"2519","1","Weapon(s) other than a firearm"
"2520","1","None"
"2521","1","None"
"2522","1","None"
"2523","1","None"
"2525","1","Drug Paraphernalia"
"2526","1","None"
"2527","1","None"
"2528","1","None"
"2528","2","None"
"2529","1","None"
"2530","1","None"
"2531","1","None"
"2532","1","None"
"2533","1","None"
"2534","1","None"
"2535","1","None"
"2536","1","None"
"2537","1","None"
"2538","1","None"
"2539","1","None"
"2541","1","None"
"2542","1","None"
"2543","1","None"
"2544","1","None"
"2545","1","None"
"2546","1","None"
"2547","1","None"
"2548","1","None"
"2549","1","None"
"2550","1","None"
"2551","1","None"
"2552","1","None"
"2553","1","None"
"2554","1","None"
"2555","1","None"
"2556","1","None"
"2557","1","None"
"2558","1","None"
"2559","1","None"
"2560","1","None"
"2561","1","None"
"2562","1","None"
"2563","1","None"
"2564","1","None"
"2565","1","None"
"2565","2","None"
"2566","1","None"
"2567","1","None"
"2568","1","None"
"2569","1","None"
"2569","2","None"
"2570","1","None"
"2571","1","None"
"2572","1","None"
"2573","1","None"
"2575","1","Drug Paraphernalia"
"2576","1","None"
"2577","1","Drug Paraphernalia"
"2577","1","Other Contraband or evidence"
"2578","1","None"
"2579","1","None"
"2579","2","None"
"2579","3","None"
"2579","4","None"
"2580","1","None"
"2581","1","None"
"2582","1","None"
"2583","1","None"
"2584","1","None"
"2585","1","None"
"2586","1","None"
"2587","1","None"
"2588","1","None"
"2589","1","None"
"2590","1","None"
"2591","1","None"
"2592","1","None"
"2593","1","None"
"2594","1","None"
"2595","1","None"
"2596","1","None"
"2597","1","None"
"2598","1","None"
"2599","1","None"
"2600","1","None"
"2601","1","None"
"2602","1","None"
"2602","2","None"
"2603","1","None"
"2603","2","None"
"2604","1","None"
"2605","1","None"
"2606","1","None"
"2607","1","None"
"2608","1","None"
"2608","2","None"
"2609","1","None"
"2610","1","None"
"2611","1","None"
"2612","1","None"
"2613","1","None"
"2614","1","None"
"2615","1","None"
"2616","1","None"
"2617","1","None"
"2618","1","None"
"2619","1","None"
"2620","1","None"
"2621","1","None"
"2622","1","None"
"2623","1","None"
"2624","1","None"
"2625","1","None"
"2626","1","None"
"2627","1","None"
"2628","1","Alcohol"
"2629","1","None"
"2630","1","None"
"2631","1","None"
"2632","1","None"
"2633","1","None"
"2634","1","None"
"2635","1","None"
"2635","2","None"
"2636","1","None"
"2637","1","None"
"2638","1","None"
"2638","2","None"
"2639","1","None"
"2640","1","None"
"2641","1","None"
"2641","2","None"
"2642","1","None"
"2642","2","None"
"2642","3","Drugs/narcotics"
"2642","3","Drug Paraphernalia"
"2643","1","None"
"2643","2","None"
"2644","1","None"
"2645","1","None"
"2646","1","Alcohol"
"2647","1","None"
"2648","1","None"
"2649","1","None"
"2650","1","None"
"2651","1","None"
"2652","1","None"
"2653","1","Drug Paraphernalia"
"2654","1","None"
"2655","1","Drug Paraphernalia"
"2656","1","None"
"2657","1","None"
"2658","1","None"
"2659","1","None"
"2660","1","None"
"2661","1","None"
"2662","1","None"
"2663","1","None"
"2664","1","None"
"2665","1","None"
"2666","1","None"
"2667","1","None"
"2668","1","None"
"2669","1","None"
"2670","1","None"
"2671","1","None"
"2672","1","None"
"2673","1","None"
"2674","1","None"
"2675","1","None"
"2676","1","None"
"2678","1","None"
"2679","1","None"
"2680","1","None"
"2681","1","None"
"2682","1","None"
"2683","1","None"
"2684","1","None"
"2685","1","None"
"2687","1","None"
"2688","1","None"
"2689","1","None"
"2690","1","Suspected Stolen property"
"2690","1","Weapon(s) other than a firearm"
"2691","1","None"
"2692","1","None"
"2693","1","None"
"2694","1","None"
"2695","1","None"
"2696","1","None"
"2697","1","None"
"2698","1","None"
"2699","1","None"
"2700","1","None"
"2701","1","None"
"2702","1","None"
"2703","1","None"
"2704","1","None"
"2705","1","None"
"2706","1","None"
"2707","1","None"
"2708","1","None"
"2709","1","None"
"2710","1","None"
"2712","1","None"
"2713","1","None"
"2714","1","None"
"2715","1","Drug Paraphernalia"
"2715","2","None"
"2716","1","None"
"2717","1","None"
"2718","1","None"
"2719","1","None"
"2720","1","None"
"2721","1","None"
"2722","1","None"
"2723","1","None"
"2724","1","None"
"2725","1","None"
"2725","2","None"
"2725","3","None"
"2725","4","None"
"2726","1","None"
"2727","1","None"
"2728","1","None"
"2729","1","None"
"2729","2","None"
"2730","1","None"
"2731","1","None"
"2732","1","None"
"2733","1","None"
"2734","1","None"
"2735","1","None"
"2736","1","None"
"2737","1","Other Contraband or evidence"
"2738","1","Other Contraband or evidence"
"2739","1","None"
"2740","1","None"
"2741","1","None"
"2742","1","None"
"2743","1","None"
"2744","1","None"
"2745","1","None"
"2746","1","None"
"2747","1","None"
"2748","1","None"
"2749","1","None"
"2750","1","None"
"2751","1","None"
"2752","1","None"
"2753","1","None"
"2754","1","Alcohol"
"2755","1","Alcohol"
"2756","1","None"
"2757","1","Alcohol"
"2758","1","None"
"2759","1","None"
"2760","1","None"
"2761","1","None"
"2762","1","None"
"2763","1","None"
"2764","1","None"
"2764","2","None"
"2764","3","Drugs/narcotics"
"2765","1","None"
"2766","1","None"
"2767","1","None"
"2768","1","None"
"2769","1","None"
"2770","1","None"
"2771","1","None"
"2772","1","None"
"2773","1","None"
"2774","1","None"
"2775","1","None"
"2776","1","None"
"2777","1","None"
"2778","1","None"
"2779","1","None"
"2780","1","None"
"2781","1","None"
"2782","1","None"
"2783","1","None"
"2784","1","None"
"2785","1","None"
"2786","1","None"
"2787","1","None"
"2788","1","None"
"2789","1","None"
"2790","1","None"
"2791","1","None"
"2792","1","None"
"2792","2","None"
"2793","1","None"
"2794","1","None"
"2795","1","None"
"2796","1","None"
"2797","1","None"
"2798","1","None"
"2799","1","None"
"2800","1","None"
"2801","1","None"
"2802","1","None"
"2803","1","None"
"2804","1","None"
"2805","1","None"
"2806","1","None"
"2807","1","None"
"2808","1","None"
"2809","1","None"
"2810","1","None"
"2811","1","None"
"2811","2","None"
"2812","1","None"
"2813","1","None"
"2814","1","None"
"2815","1","None"
"2816","1","None"
"2817","1","None"
"2818","1","None"
"2819","1","None"
"2820","1","None"
"2821","1","None"
"2822","1","None"
"2823","1","None"
"2824","1","None"
"2825","1","None"
"2826","1","None"
"2827","1","None"
"2828","1","None"
"2829","1","None"
"2830","1","None"
"2831","1","None"
"2832","1","None"
"2833","1","None"
"2834","1","None"
"2835","1","None"
"2836","1","None"
"2837","1","None"
"2838","1","None"
"2839","1","None"
"2840","1","None"
"2841","1","None"
"2842","1","None"
"2843","1","None"
"2844","1","None"
"2845","1","None"
"2846","1","None"
"2847","1","None"
"2848","1","None"
"2849","1","None"
"2850","1","None"
"2851","1","None"
"2852","1","None"
"2853","1","None"
"2854","1","None"
"2855","1","None"
"2856","1","None"
"2857","1","None"
"2858","1","None"
"2859","1","None"
"2860","1","None"
"2861","1","None"
"2862","1","None"
"2863","1","None"
"2864","1","None"
"2865","1","None"
"2866","1","None"
"2867","1","None"
"2868","1","None"
"2869","1","None"
"2870","1","None"
"2871","1","None"
"2872","1","None"
"2873","1","None"
"2874","1","None"
"2875","1","None"
"2876","1","None"
"2877","1","None"
"2878","1","None"
"2879","1","None"
"2880","1","None"
"2881","1","None"
"2882","1","None"
"2883","1","None"
"2884","1","None"
"2885","1","None"
"2886","1","None"
"2887","1","None"
"2888","1","None"
"2889","1","None"
"2890","1","None"
"2891","1","None"
"2892","1","None"
"2893","1","None"
"2894","1","None"
"2895","1","None"
"2896","1","None"
"2897","1","None"
"2898","1","None"
"2899","1","None"
"2900","1","None"
"2900","2","None"
"2901","1","None"
"2902","1","None"
"2903","1","None"
"2904","1","None"
"2905","1","None"
"2906","1","None"
"2907","1","None"
"2908","1","None"
"2909","1","None"
"2910","1","None"
"2911","1","None"
"2912","1","None"
"2913","1","None"
"2914","1","None"
"2915","1","None"
"2916","1","None"
"2917","1","None"
"2918","1","None"
"2919","1","None"
"2920","1","None"
"2921","1","None"
"2922","1","None"
"2923","1","Alcohol"
"2924","1","None"
"2925","1","None"
"2926","1","None"
"2927","1","None"
"2927","2","None"
"2928","1","None"
"2928","2","None"
"2929","1","None"
"2930","1","None"
"2931","1","None"
"2932","1","None"
"2933","1","None"
"2934","1","None"
"2935","1","Other Contraband or evidence"
"2936","1","None"
"2937","1","None"
"2937","2","None"
"2937","3","None"
"2938","1","None"
"2939","1","None"
"2940","1","None"
"2941","1","None"
"2942","1","None"
"2943","1","None"
"2944","1","None"
"2945","1","None"
"2946","1","None"
"2947","1","None"
"2948","1","None"
"2949","1","None"
"2950","1","None"
"2951","1","None"
"2952","1","Other Contraband or evidence"
"2953","1","None"
"2954","1","None"
"2955","1","None"
"2956","1","None"
"2957","1","None"
"2958","1","None"
"2959","1","None"
"2960","1","Drug Paraphernalia"
"2961","1","None"
"2961","2","None"
"2962","1","None"
"2963","1","Other Contraband or evidence"
"2964","1","None"
"2965","1","None"
"2966","1","None"
"2967","1","None"
"2968","1","None"
"2969","1","None"
"2970","1","None"
"2971","1","None"
"2972","1","None"
"2973","1","None"
"2974","1","None"
"2975","1","None"
"2976","1","None"
"2977","1","None"
"2978","1","None"
"2979","1","None"
"2980","1","Weapon(s) other than a firearm"
"2981","1","None"
"2982","1","Alcohol"
