,Unnamed: 0,BUSINESS ACCT#,DBA NAME,OWNERSHIP TYPE,ACTIVITY DESC,lon,lat
0,0,2019005727,#WHO DO U THINK U ARE,SOLE,information services,-117.07373999999999,32.704464
1,1,2010034224,% NATURAL GOMEZ,SOLE,HEALTH SERVICES,-117.10183,32.737766
2,2,2007016185,+A PARTNERS,CORP,PROPERTY SERVICES,-117.14946,32.749218
3,3,2016012911,1 ALL EYES AND EARS,SOLE,other individual & family services,-117.08980600000001,32.73843
4,4,2013047218,1 AMERICAN LIVESCAN,CORP,investigation services,-117.11652,32.809334
5,5,1995012233,1 CLASSY CAB,LLC,all other transit & ground passenger trans,-117.04206,32.70174
6,6,2018026530,1 LIFE QUOTE INSURANCE & FINANCIAL SERVICES,SOLE,INSURANCE,-117.214676,32.754191999999996
7,7,2016024132,1 LINE OF SIGHT,SOLE,consulting services,-117.236534,32.962055
8,8,2017000305,1 LOOK BACK,H-W,ART AND PHOTOGRAPHY,-117.08514,32.93103
9,9,1998011168,1 SPIRIT,CORP,WHOLESALE,-117.23208000000001,32.937702
10,10,2005006098,1 STOP POOL PROS 5,CORP,CONSTRUCTION,-117.15186000000001,32.89089
11,11,1996000394,1# LIVINGSTONS CHICKEN KITCHEN,CORP,FOOD SERVICES,-117.25149499999999,32.747128000000004
13,13,2003009618,1-800-GOTJUNK OF SAN DIEGO,LLC,TRANSPORTATION,-117.27828000000001,33.119675
14,14,2003024754,1/8 FRESH,SOLE,other personal services,-117.177765,32.965237
16,16,2012005140,100% SPEEDLAB LLC,LLC,WHOLESALE,-117.12073999999998,32.80834
17,17,2017020342,102 HUB,SCORP,BARS,-117.17331000000001,32.90721
18,18,2011001615,1069 DESIGN,SOLE,graphic design services,-117.18806000000001,33.1004
19,19,2019006352,10X DIGITAL FIRM,LLC,marketing consulting services,-117.15446499999999,32.779340000000005
20,20,2016017112,1155 ISLAND AVENUE LLC,LLC,PROPERTY SERVICES,-117.16022,32.722115
21,21,2016000699,123 WINDOW SCREEN REPAIR,SOLE,other services to buildings & dwellings,-117.04768,32.775448
22,22,1974001809,12TH & BROADWAY CAFE,SOLE,FOOD SERVICES,-117.15378,32.715652
23,23,2006014483,13TH CENTURY HEAVY INDUSTRIES ,SOLE,consulting services,-117.1452,32.921783000000005
24,24,2007021055,145TH ST,PARTNR,ART AND PHOTOGRAPHY,-117.1457,32.792774
25,25,2011003863,1750 FIFTH AVE LLC,LLC,PROPERTY SERVICES,-117.161026,32.728245
26,26,2018022636,1787 1789 AUTO DETAIL,SOLE,REPAIR SERVICES,-117.17218000000001,32.790104
27,27,1995000745,1800 PAINT JOB OF SAN DIEGO,CORP,CONSTRUCTION,-117.06436000000001,33.028843
28,28,2018028183,1800LOVEMYCATS,SOLE,RETAILERS,-117.071785,32.994263000000004
29,29,2012011995,1805 GALLERY,SOLE,RETAILERS,-117.16755,32.723907000000004
30,30,2018023618,1818 BERNARDO LLC,LLC,PROPERTY SERVICES,-117.076004,33.020309999999995
31,31,2018022899,1904BLENDS,SOLE,beauty salons,-117.21596000000001,32.752632
32,32,2006014546,1933 NORTH PLACENTIA AVENUE LLC,LLC,PROPERTY SERVICES,-117.00684,32.809013
33,33,2006014554,1941 NORTH PLACENTIA AVENUE LLC,LLC,PROPERTY SERVICES,-117.00684,32.809013
34,34,2003007783,1B7,NO/PRF,NON-PROFIT,-117.03733999999999,33.13179
35,35,2016001350,1CALL4CARE LLC,LLC,consulting services,-117.1458,32.827282000000004
36,36,2018002295,1HENRY,SOLE,other services to buildings & dwellings,-117.243126,33.208861999999996
37,37,2013056659,1HRTIMEOUT,SOLE,MASSAGE,-117.14889,32.782463
38,38,2018023501,1REALTOUR LLC,LLC,COMPUTERS,-117.07302,32.762640000000005
39,39,2014029035,1ST A WHEELS,SOLE,RETAILERS,-116.99905,32.57202
40,40,2015020842,1ST CHOICE PLUMBING,CORP,CONSTRUCTION,-117.29326999999999,33.204685
41,41,2017016776,1ST CHOICE SOLAR CONSTRUCTION,SOLE,"building, developing & general contracting",-117.883385,33.805637
42,42,1998007323,1ST CLASS AUTO DETAIL,SOLE,AUTOMOTIVE,-117.211426,32.88098
43,43,2018004556,1ST LIGHT ENERGY INC,CORP,CONSTRUCTION,-121.20257600000001,37.78745
44,44,2017015427,1ST TEAM AIR CONDITIONING INC,CORP,CONSTRUCTION,-117.17908500000001,33.534702
45,45,2001001308,2 CONNECT,SCORP,management consulting services,-117.18621999999999,32.855292999999996
46,46,2016005599,2 JV HANDYMAN,SOLE,other services to buildings & dwellings,-117.04267,32.769653000000005
47,47,2019005944,2 LITTY-9/3 CBD,SOLE,RETAILERS,-117.05551000000001,32.729588
48,48,2006008633,2 MUCH FOOD,SCORP,electronic shopping & mail-order houses,-117.14617,33.01576
49,49,2013056536,2-D STAGE LIGHTING ELECTRIC INC,CORP,CONSTRUCTION,-117.087425,32.593486999999996
50,50,2015031359,20 CAPITAL800,LLC,FINANCE SERVICES,-117.14627,32.761654
