,ACTIVITY DESC,lon,lat
0,INFORMATION SERVICES,-117.07374,32.704464
1,ALL OTHER HEALTH & PERSONAL CARE STORES,-117.10183,32.737766
2,REAL ESTATE,-117.14946,32.749218
3,OTHER INDIVIDUAL & FAMILY SERVICES,-117.089806,32.73843
4,INVESTIGATION SERVICES,-117.11652,32.809334
5,ALL OTHER TRANSIT & GROUND PASSENGER TRANS,-117.04206,32.70174
6,INSURANCE CARRIERS,-117.214676,32.754192
7,CONSULTING SERVICES,-117.236534,32.962055
8,PHOTOGRAPHIC SERVICES,-117.08514,32.93103
9,WINE & DISTILLED ALCOHOLIC BEVERAGE WHSLE,-117.23208,32.937702
10,OTHER SPECIAL TRADE CONTRACTORS,-117.15186,32.89089
11,FULL-SERVICE RESTAURANTS,-117.251495,32.747128
12,SOLID WASTE COLLECTION,-117.28025,33.216965
13,ALL OTHER TRANSPORTATION SUPPORT ACTIVITIES,-117.27828,33.119675
14,OTHER PERSONAL SERVICES,-117.177765,32.965237
15,POSTPROD & OTHER MOVIE & VIDEO INDUSTRIES,-117.15353,32.7094
16,"PIECE GOODS, NOTIONS & OTHER DRY GOODS WHSLE",-117.12074,32.80834
17,DRINKING PLACES (ALCOHOLIC BEVERAGES),-117.17331,32.90721
18,GRAPHIC DESIGN SERVICES,-117.18806,33.1004
19,MARKETING CONSULTING SERVICES,-117.154465,32.77934
20,LESSORS OF NONRES BLDG (EXC MINIWAREHOUSE),-117.16022,32.722115
21,OTHER SERVICES TO BUILDINGS & DWELLINGS,-117.04768,32.775448
22,FULL-SERVICE RESTAURANTS,-117.15378,32.715652
23,CONSULTING SERVICES,-117.1452,32.921783
24,"INDEPENDENT ARTISTS, WRITERS & PERFORMERS",-117.1457,32.792774
25,LESSORS OF NONRES BLDG (EXC MINIWAREHOUSE),-117.161026,32.728245
26,REPAIR & MAINTENANCE,-117.17218,32.790104
27,ALL OTHER SPECIAL TRADE CONTRACTORS,-117.06436,33.028843
28,RETAIL SALES VIA INTERNET/WEBSITES,-117.071785,32.994263
29,OTHER MISCELLANEOUS STORE RETAILERS,-117.16755,32.723907
30,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,-117.076004,33.02031
31,BEAUTY SALONS,-117.21596,32.752632
32,RENTAL & LEASING SERVICES,-117.00684,32.809013
33,RENTAL & LEASING SERVICES,-117.00684,32.809013
34,BUSINESS TAX EXEMPT,-117.03734,33.13179
35,CONSULTING SERVICES,-117.1458,32.827282
36,OTHER SERVICES TO BUILDINGS & DWELLINGS,-117.243126,33.208862
37,MASSAGE THERAPY,-117.14889,32.782463
38,COMPUTER SYSTEMS DESIGN SERVICES,-117.07302,32.76264
39,RETAIL TRADE,-116.99905,32.57202
40,"PLUMBING, HEATING & AC CONTRACTOR",-117.29327,33.204685
41,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.883385,33.805637
42,ALL OTHER AUTOMOTIVE R&M,-117.211426,32.88098
43,OTHER SPECIAL TRADE CONTRACTORS,-121.202576,37.78745
44,"PLUMBING, HEATING & AC CONTRACTOR",-117.179085,33.534702
45,MANAGEMENT CONSULTING SERVICES,-117.18622,32.855293
46,OTHER SERVICES TO BUILDINGS & DWELLINGS,-117.04267,32.769653
47,NONSTORE RETAILERS,-117.05551,32.729588
48,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES,-117.14617,33.01576
49,ELECTRICAL CONTRACTORS,-117.087425,32.593487
50,ACTIVITIES RELATED TO CREDIT INTERMEDIATION,-117.14627,32.761654
51,"PLUMBING, HEATING & AC CONTRACTOR",-117.456245,33.960804
52,WOMEN'S CLOTHING STORES,-117.15489,32.818
53,OTHER SERVICES TO BUILDINGS & DWELLINGS,-117.09493,32.945705
54,RENTAL & LEASING SERVICES,-117.14241,32.762768
55,NONSTORE RETAILERS,-117.13515,32.76053
56,COMPUTER SYSTEMS DESIGN SERVICES,-117.213905,32.748886
57,CONSULTING SERVICES,-117.07406,33.012882
58,BLDG EQUIP & OTH MACH INSTALLATION CONTRACTOR,-117.148834,32.829792
59,ALL OTHER PERSONAL SERVICES,-117.072044,32.76572
60,FITNESS & RECREATIONAL SPORTS CENTERS,-117.00813,32.802902
61,FITNESS & RECREATIONAL SPORTS CENTERS,-117.1106,32.781868
62,PERSONAL CARE SERVICES,-117.12166,32.893803
63,FITNESS & RECREATIONAL SPORTS CENTERS,-117.253395,32.79702
64,FITNESS & RECREATIONAL SPORTS CENTERS,-117.21624,32.752804
65,JANITORIAL SERVICES,-117.0591,32.742252
66,TATTOO PARLORS,-117.22774,32.7263
67,USED HOUSEHOLD & OFFICE GOODS MOVING,-117.14671,32.774277
68,INDIVIDUAL & FAMILY SERVICES,-117.04553,32.552723
69,OTHER BUSINESS SERVICES,-117.05515,32.704796
70,COMPUTER SYSTEMS DESIGN & RELATED SERVICES,-117.073395,32.58131
71,CONSTRUCTION,-117.19571,32.75203
72,BUSINESS TAX EXEMPT,-116.472824,32.63009
73,ACTIVITIES RELATED TO REAL ESTATE,-117.21582,32.752544
74,"INDEPENDENT ARTISTS, WRITERS & PERFORMERS",-117.2324,32.955593
75,NONSTORE RETAILERS,-117.12886,32.71692
76,COMPUTER SYSTEMS DESIGN & RELATED SERVICES,-117.1399,32.90841
77,"WHOLESALE TRADE, DURABLE GOODS",-117.197334,32.904144
78,BREWERIES,-117.137825,32.895878
79,CROP PRODUCTION SUPPORT ACTIVITIES,-117.18174,32.890263
80,MARKETING CONSULTING SERVICES,-117.06438,33.043114
81,MATERIALS RECOVERY FACILITIES,-117.02582,32.71758
82,WINDOW TREATMENT STORES,-117.7516,33.668766
83,SPECIAL TRADE CONTRACTORS,-117.06619,32.603027
84,MOBILE FOOD SERVICES,-117.075905,32.7254
85,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,-117.10771,32.936672
86,"INDEPENDENT ARTISTS, WRITERS & PERFORMERS",-117.094154,32.76156
87,ELECTRICAL CONTRACTORS,-117.10223,33.16062
88,SPECIAL TRADE CONTRACTORS,-117.926865,33.712013
