stop_id,crime_type,lon,lat
2448,*unsafe movement*,-117.005226,32.74516
2454,*others*,-117.005226,32.74516
2457,*bike*,-117.005226,32.74516
2458,*bike*,-117.005226,32.74516
2462,*red light*,-117.005226,32.74516
2465,*phone*,-117.005226,32.74516
2469,*red light*,-117.005226,32.74516
2477,*others*,-117.005226,32.74516
2477,*passenger*,-117.005226,32.74516
2506,*others*,-117.005226,32.74516
2512,*expire or fake liscence*,-117.005226,32.74516
2513,*others*,-117.005226,32.74516
2520,*others*,-117.005226,32.74516
2538,*plate*,-117.005226,32.74516
2544,*turn*,-117.005226,32.74516
2546,*sign*,-117.005226,32.74516
2548,*red light*,-117.005226,32.74516
2549,*lane*,-117.005226,32.74516
2551,*red light*,-117.005226,32.74516
2552,*expire or fake liscence*,-117.005226,32.74516
2554,*phone*,-117.005226,32.74516
2555,*traffic jam*,-117.005226,32.74516
2559,*phone*,-117.005226,32.74516
2561,*red light*,-117.005226,32.74516
2564,*others*,-117.005226,32.74516
2583,*others*,-117.005226,32.74516
2588,*others*,-117.005226,32.74516
2590,*speeding*,-117.005226,32.74516
2591,*speeding*,-117.005226,32.74516
2593,*speeding*,-117.005226,32.74516
2595,*speeding*,-117.005226,32.74516
2596,*speeding*,-117.005226,32.74516
2597,*speeding*,-117.005226,32.74516
2600,*phone*,-117.005226,32.74516
2604,*sign*,-117.005226,32.74516
2607,*plate*,-117.005226,32.74516
2612,*phone*,-117.005226,32.74516
2613,*phone*,-117.005226,32.74516
2614,*phone*,-117.005226,32.74516
2615,*helmet*,-117.005226,32.74516
2616,*helmet*,-117.005226,32.74516
2618,*expire or fake liscence*,-117.005226,32.74516
2620,*expire or fake liscence*,-117.005226,32.74516
2623,*red light*,-117.005226,32.74516
2626,*speeding*,-117.005226,32.74516
2627,*helmet*,-117.005226,32.74516
2629,*helmet*,-117.005226,32.74516
2630,*helmet*,-117.005226,32.74516
2631,*car problem*,-117.005226,32.74516
2632,*helmet*,-117.005226,32.74516
2633,*helmet*,-117.005226,32.74516
2634,*helmet*,-117.005226,32.74516
2635,*expire or fake liscence*,-117.005226,32.74516
2636,*helmet*,-117.005226,32.74516
2639,*helmet*,-117.005226,32.74516
2644,*bike*,-117.005226,32.74516
2648,*speeding*,-117.005226,32.74516
2649,*speeding*,-117.005226,32.74516
2650,*speeding*,-117.005226,32.74516
2652,*speeding*,-117.005226,32.74516
2654,*speeding*,-117.005226,32.74516
2656,*speeding*,-117.005226,32.74516
2657,*speeding*,-117.005226,32.74516
2660,*lane*,-117.005226,32.74516
2663,*sign*,-117.005226,32.74516
2665,*phone*,-117.005226,32.74516
2666,*phone*,-117.005226,32.74516
2668,*plate*,-117.005226,32.74516
2670,*stopping violation*,-117.005226,32.74516
2671,*lane*,-117.005226,32.74516
2672,*stopping violation*,-117.005226,32.74516
2673,*phone*,-117.005226,32.74516
2675,*phone*,-117.005226,32.74516
2687,*others*,-117.005226,32.74516
2691,*car problem*,-117.005226,32.74516
2692,*expire or fake liscence*,-117.005226,32.74516
2693,*tinted window*,-117.005226,32.74516
2694,*red light*,-117.005226,32.74516
2695,*speeding*,-117.005226,32.74516
2696,*phone*,-117.005226,32.74516
2699,*phone*,-117.005226,32.74516
2703,*red light*,-117.005226,32.74516
2709,*speeding*,-117.005226,32.74516
2710,*expire or fake liscence*,-117.005226,32.74516
2712,*sign*,-117.005226,32.74516
2717,*stopping violation*,-117.005226,32.74516
2722,*lane*,-117.005226,32.74516
2723,*turn*,-117.005226,32.74516
2724,*car problem*,-117.005226,32.74516
2728,*car problem*,-117.005226,32.74516
2730,*speeding*,-117.005226,32.74516
2736,*car problem*,-117.005226,32.74516
2744,*expire or fake liscence*,-117.005226,32.74516
2756,*plate*,-117.005226,32.74516
2758,*plate*,-117.005226,32.74516
2762,*phone*,-117.005226,32.74516
2766,*lane*,-117.005226,32.74516
2767,*stopping violation*,-117.005226,32.74516
2770,*stopping violation*,-117.005226,32.74516
2771,*speeding*,-117.005226,32.74516
2773,*speeding*,-117.005226,32.74516
2776,*speeding*,-117.005226,32.74516
2779,*speeding*,-117.005226,32.74516
2780,*sign*,-117.005226,32.74516
2784,*expire or fake liscence*,-117.005226,32.74516
2785,*speeding*,-117.005226,32.74516
2786,*speeding*,-117.005226,32.74516
2787,*speeding*,-117.005226,32.74516
2788,*plate*,-117.005226,32.74516
2815,*others*,-117.005226,32.74516
2817,*speeding*,-117.005226,32.74516
2820,*speeding*,-117.005226,32.74516
2822,*others*,-117.005226,32.74516
2824,*others*,-117.005226,32.74516
2825,*others*,-117.005226,32.74516
2826,*others*,-117.005226,32.74516
2829,*others*,-117.005226,32.74516
2830,*speeding*,-117.005226,32.74516
2831,*speeding*,-117.005226,32.74516
2833,*others*,-117.005226,32.74516
2834,*others*,-117.005226,32.74516
2836,*others*,-117.005226,32.74516
2837,*speeding*,-117.005226,32.74516
2838,*speeding*,-117.005226,32.74516
2839,*sign*,-117.005226,32.74516
2842,*helmet*,-117.005226,32.74516
2843,*helmet*,-117.005226,32.74516
2845,*helmet*,-117.005226,32.74516
2847,*helmet*,-117.005226,32.74516
2849,*helmet*,-117.005226,32.74516
2851,*helmet*,-117.005226,32.74516
2868,*helmet*,-117.005226,32.74516
2871,*helmet*,-117.005226,32.74516
2873,*helmet*,-117.005226,32.74516
2874,*helmet*,-117.005226,32.74516
2875,*helmet*,-117.005226,32.74516
2876,*helmet*,-117.005226,32.74516
2877,*helmet*,-117.005226,32.74516
2878,*helmet*,-117.005226,32.74516
2879,*helmet*,-117.005226,32.74516
2880,*helmet*,-117.005226,32.74516
2882,*helmet*,-117.005226,32.74516
2884,*helmet*,-117.005226,32.74516
2885,*helmet*,-117.005226,32.74516
2886,*helmet*,-117.005226,32.74516
2887,*helmet*,-117.005226,32.74516
2888,*helmet*,-117.005226,32.74516
2889,*others*,-117.005226,32.74516
2894,*others*,-117.005226,32.74516
2895,*helmet*,-117.005226,32.74516
2896,*helmet*,-117.005226,32.74516
2897,*helmet*,-117.005226,32.74516
2898,*turn*,-117.005226,32.74516
2902,*sign*,-117.005226,32.74516
2903,*speeding*,-117.005226,32.74516
2904,*speeding*,-117.005226,32.74516
2905,*speeding*,-117.005226,32.74516
2906,*speeding*,-117.005226,32.74516
2907,*speeding*,-117.005226,32.74516
2908,*speeding*,-117.005226,32.74516
2909,*speeding*,-117.005226,32.74516
2911,*speeding*,-117.005226,32.74516
2912,*speeding*,-117.005226,32.74516
2913,*speeding*,-117.005226,32.74516
2914,*speeding*,-117.005226,32.74516
2919,*scooter*,-117.005226,32.74516
2922,*sign*,-117.005226,32.74516
2929,*red light*,-117.005226,32.74516
2930,*sign*,-117.005226,32.74516
2931,*sign*,-117.005226,32.74516
2932,*others*,-117.005226,32.74516
2933,*others*,-117.005226,32.74516
2934,*plate*,-117.005226,32.74516
2937,*scooter*,-117.005226,32.74516
2937,*scooter*,-117.005226,32.74516
2937,*scooter*,-117.005226,32.74516
2942,*expire or fake liscence*,-117.005226,32.74516
2945,*turn*,-117.005226,32.74516
2948,*lane*,-117.005226,32.74516
2951,*speeding*,-117.005226,32.74516
2954,*highway voilation*,-117.005226,32.74516
2955,*others*,-117.005226,32.74516
2957,*sign*,-117.005226,32.74516
2958,*car problem*,-117.005226,32.74516
2962,*car problem*,-117.005226,32.74516
2969,*sign*,-117.005226,32.74516
2976,*traffic jam*,-117.005226,32.74516
2979,*speeding*,-117.005226,32.74516
2991,*tinted window*,-117.005226,32.74516
2992,*sidewalk*,-117.005226,32.74516
2996,*car problem*,-117.005226,32.74516
2998,*driving equipment violaiton*,-117.005226,32.74516
3000,*sign*,-117.005226,32.74516
3005,*lane*,-117.005226,32.74516
3014,*bike*,-117.005226,32.74516
3014,*bike*,-117.005226,32.74516
3015,*car problem*,-117.005226,32.74516
3035,*sign*,-117.005226,32.74516
3048,*speeding*,-117.005226,32.74516
3049,*passenger*,-117.005226,32.74516
3049,*passenger*,-117.005226,32.74516
3050,*others*,-117.005226,32.74516
3055,*car problem*,-117.005226,32.74516
3056,*expire or fake liscence*,-117.005226,32.74516
3057,*others*,-117.005226,32.74516
3058,*others*,-117.005226,32.74516
3059,*others*,-117.005226,32.74516
3060,*others*,-117.005226,32.74516
3073,*car problem*,-117.005226,32.74516
3086,*expire or fake liscence*,-117.005226,32.74516
3089,*expire or fake liscence*,-117.005226,32.74516
3093,*lane*,-117.005226,32.74516
3095,*lane*,-117.005226,32.74516
3107,*turn*,-117.005226,32.74516
3113,*plate*,-117.005226,32.74516
3114,*red light*,-117.005226,32.74516
3117,*sign*,-117.005226,32.74516
3128,*sign*,-117.005226,32.74516
3133,*speeding*,-117.005226,32.74516
3141,*expire or fake liscence*,-117.005226,32.74516
3150,*red light*,-117.005226,32.74516
3151,*expire or fake liscence*,-117.005226,32.74516
3159,*traffic jam*,-117.005226,32.74516
3168,*phone*,-117.005226,32.74516
3170,*plate*,-117.005226,32.74516
3171,*sign*,-117.005226,32.74516
3172,*phone*,-117.005226,32.74516
3173,*plate*,-117.005226,32.74516
3183,*car problem*,-117.005226,32.74516
3184,*others*,-117.005226,32.74516
3185,*phone*,-117.005226,32.74516
3187,*expire or fake liscence*,-117.005226,32.74516
3189,*sign*,-117.005226,32.74516
3192,*expire or fake liscence*,-117.005226,32.74516
3194,*others*,-117.005226,32.74516
3198,*sign*,-117.005226,32.74516
3202,*plate*,-117.005226,32.74516
3203,*car problem*,-117.005226,32.74516
3207,*stopping violation*,-117.005226,32.74516
3208,*traffic jam*,-117.005226,32.74516
3209,*sign*,-117.005226,32.74516
